GEN,REP,BLOCK,ENV,site,Elevation_M,Soil_pH,Soil_Na,Avg_temp,Cum_precip,PROTEIN_g/kg,OIL_g/kg,Country_of_Origin,Soil_Type
SC_EXPT2,1,1,ENV6,SEEDCO-Site 1,1341,5.3,12,20.4,369.6,412.0,205.3,Zimbabwe,Ferric Luvisols
SC_EXPT2,2,8,ENV6,SEEDCO-Site 1,1341,5.3,12,20.4,369.6,401.3,210.5,Zimbabwe,Ferric Luvisols
SC_EXPT3,1,4,ENV6,SEEDCO-Site 1,1341,5.3,12,20.4,369.6,415.2,199.1,Zimbabwe,Ferric Luvisols
SC_EXPT3,2,8,ENV6,SEEDCO-Site 1,1341,5.3,12,20.4,369.6,413.8,201.9,Zimbabwe,Ferric Luvisols
SC_SAGA,1,4,ENV6,SEEDCO-Site 1,1341,5.3,12,20.4,369.6,413.3,198.9,Zimbabwe,Ferric Luvisols
SC_SAGA,2,7,ENV6,SEEDCO-Site 1,1341,5.3,12,20.4,369.6,406.4,198.8,Zimbabwe,Ferric Luvisols
SC_SIGNAL,1,3,ENV6,SEEDCO-Site 1,1341,5.3,12,20.4,369.6,387.2,195.6,Zimbabwe,Ferric Luvisols
SC_SIGNAL,2,10,ENV6,SEEDCO-Site 1,1341,5.3,12,20.4,369.6,395.3,190.3,Zimbabwe,Ferric Luvisols
SC_SL01,1,1,ENV6,SEEDCO-Site 1,1341,5.3,12,20.4,369.6,421.8,198.6,Zimbabwe,Ferric Luvisols
SC_SL01,2,7,ENV6,SEEDCO-Site 1,1341,5.3,12,20.4,369.6,419.2,201.4,Zimbabwe,Ferric Luvisols
SC_SPIKE,1,4,ENV6,SEEDCO-Site 1,1341,5.3,12,20.4,369.6,388.1,196.2,Zimbabwe,Ferric Luvisols
SC_SPIKE,2,10,ENV6,SEEDCO-Site 1,1341,5.3,12,20.4,369.6,387.8,196.7,Zimbabwe,Ferric Luvisols
TGX_1987-62F,1,5,ENV6,SEEDCO-Site 1,1341,5.3,12,20.4,369.6,410.0,184.5,Nigeria,Ferric Luvisols
TGX_1987-62F,2,8,ENV6,SEEDCO-Site 1,1341,5.3,12,20.4,369.6,406.5,189.9,Nigeria,Ferric Luvisols
TGX_2002-9FM,1,3,ENV6,SEEDCO-Site 1,1341,5.3,12,20.4,369.6,410.7,208.1,Zambia,Ferric Luvisols
